Product,Ingredients
matte 12,"aqua (water), isodecyl neopentanoate, dimethicone, dimethicone/vinyl dimethicone crosspolymer, hexamethyldisiloxane, dimethicone/bis-isobutyl ppg-20 crosspolymer, hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer, propanediol, isohexadecane, acrylates/ethylhexyl acrylate crosspolymer, polysilicone-11, tocopherol, polysorbate 60, isoceteth-20, laureth-9, c12-14 pareth-12, cyclopentasiloxane, trisodium ethylenediamine disuccinate, citric acid, sodium benzoate, phenoxyethanol, chlorphenesin.

Our formulations are updated from time to time as part of our commitment to innovation. As such, the ingredient list shown here may vary from the box of the product depending on time and region of purchase."
photography foundation dark,"aqua (water), titanium dioxide, caramel, hexamethyldisiloxane, trimethylsiloxysilicate, mica, propanediol, cetearyl isononanoate, glycerin, cyclopentasiloxane, red iron oxide (ci 77491), ceteareth-20, pentylene glycol, cetearyl alcohol, polypodium vulgare rhizome extract, cetraria islandica thallus extract, sphagnum magellanicum extract, sodium hyaluronate, sodium pca, methyl methacrylate/peg/ppg-4/3 methacrylate crosspolymer, adipic acid/neopentyl glycol crosspolymer, trehalose, allantoin, glucose, maltose, fructose, urea, sodium lactate, citric acid, sodium chloride, sodium hydroxide, vp/va copolymer, amodimethicone, dimethicone/vinyl dimethicone crosspolymer, dimethicone, glyceryl stearate, ceteareth-12, cetyl palmitate, acacia senegal gum, xanthan gum, benzoic acid, hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer, synthetic fluorophlogopite, tin oxide, citric acid, hydroxypropyl methylcellulose, phenoxyethanol, chlorophenesin.

Our formulations are updated from time to time as part of our commitment to innovation. As such, the ingredient list shown here may vary from the box of the product depending on time and region of purchase."
photography foundation golden,"aqua (water), trimethylsiloxysilicate, titanium dioxide, hexamethyldisiloxane, cetearyl isononanoate, mica, propanediol, glycerin, ceteareth-20, cetearyl alcohol, caramel, cyclopentasiloxane, hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer, pentylene glycol, sodium hyaluronate, polypodium vulgare rhizome extract, cetraria islandica thallus extract, sphagnum magellanicum extract, fructose, allantoin, glucose, maltose, trehalose, urea, citric acid, sodium lactate, sodium pca, methyl methacrylate/peg/ppg-4/3 methacrylate crosspolymer, adipic acid/neopentyl glycol crosspolymer, dimethicone, dimethicone/vinyl dimethicone crosspolymer, vp/va copolymer, hydroxypropyl methylcellulose, ceteareth-12, glyceryl stearate, sorbitan isostearate, cetyl palmitate, acacia senegal gum, xanthan gumÂ¸ isohexadecane, polysorbate 60, amodimethiconeÂ¸ sodium chloride, sodium hydroxide, tin oxide, red iron oxide (ci 77491), synthetic fluorphlogopite, benzoic acid, phenoxyethanol, chlorphenesin, caprylyl glycol.

Our formulations are updated from time to time as part of our commitment to innovation. As such, the ingredient list shown here may vary from the box of the product depending on time and region of purchase."
photography foundation transparent,"aqua (water), titanium dioxide, hexamethyldisiloxane, trimethylsiloxysilicate, mica, propanediol, cyclopentasiloxane, glycerin, pentylene glycol, sodium hyaluronate, polypodium vulgare rhizome extract, cetraria islandica thallus extract, sphagnum magellanicum extract, fructose, allantoin, glucose, maltose, trehalose, urea, citric acid, sodium lactate, sodium pca, methyl methacrylate/peg/ppg-4/3 methacrylate crosspolymer, adipic acid/neopentyl glycol crosspolymer, polyacrylate crosspolymer-6, hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer, isohexadecane, dimethicone, dimethicone/vinyl dimethicone crosspolymer, vp/va copolymer, polysorbate 60, hydroxypropyl methylcellulose, amodimethicone, sodium chloride, sodium hydroxide, tin oxide, phenoxyethanol, chlorphenesin, caprylyl glycol.

Our formulations are updated from time to time as part of our commitment to innovation. As such, the ingredient list shown here may vary from the box of the product depending on time and region of purchase."
pore delete,"adipic acid/ neopentyl glycol crosspolymer, aqua (water), dimethicone, cyclohexasiloxane, ethoxydiglycol, vp/va copolymer, vinyl dimethicone/ methicone silsesquioxane crosspolymer, tasmannia lanceolate fruit/ leaf extract, glycerin, peg-10 dimethicone, acrylamide/ sodium acryloyldimethyltaurate copolymer, isohexadecane, polysorbate 80, amodimethicone, hydroxypropyl methylcellulose, caprylyl glycol, phenoxyethanol, chlorphenesin.

Our formulations are updated from time to time as part of our commitment to innovation. As such, the ingredient list shown here may vary from the box of the product depending on time and region of purchase."
white blur,"Aqua (Water), Adipic Acid/Neopentyl Glycol Crosspolymer, C13-15 Alkane, Dimethicone, Glycerin, Titanium Dioxide (CI 77891), VP/VA Copolymer, Moringa Oleifera Seed Extract, Amodimethicone, Hydroxypropyl Methylcellulose, Bisabolane, Polyacrylate Crosspolymer-6, Bismuth Oxychloride (CI 77163), Mica (CI 77019), Citric Acid, Caprylyl Glycol, 1,2-Hexanediol, Tropolone, Phenoxyethanol, Chlorophenesin, Disodium Phosphate.

Our formulations are updated from time to time as part of our commitment to innovation. As such, the ingredient list shown here may vary from the box of the product depending on time and region of purchase."
white flash,"Cyclopentasiloxane, Titanium Dioxide, Aluminum Hydroxide, Dimethicone, Hydrogen Dimethicone, Guaiazulene.

Our formulations are updated from time to time as part of our commitment to innovation. As such, the ingredient list shown here may vary from the box of the product depending on time and region of purchase."
"photography fluid, opacity 12%","Aqua (Water), Trimethylsiloxysilicate, Titanium Dioxide (CI 77891), Hexamethyldisiloxane, Hylocereus Undatus Fruit Extract, Mica, Cetearyl Isononanoate, Propanediol, Simmondsia Chinensis (Jojoba) Seed Oil, Ceteareth-20, Cetearyl Alcohol, Glycerin, Cyclopentasiloxane, Glyceryl Stearate, Pentylene Glycol, Sodium Hyaluronate, Fructose, Glucose, Maltose, Trehalose, Sodium PCA, Urea, Sodium Lactate, Allantoin, Squalane, Polypodium Vulgare Rhizome Extract, Cetraria Islandica Thallus Extract, Sphagnum Magellanicum Extract, Solanum Lycopersicum (Tomato) Fruit Extract, Methyl Methacrylate/PEG/PPG-4/3 Methacrylate crosspolymer, Polyacrylate Crosspolymer-6, Hydroxypropyl Methylcellulose, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Ceteareth-12, Cetyl Palmitate, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Amodimethicone, VP/VA Copolymer, Adipic Acid/Neopentyl Glycol Crosspolymer, Tin Oxide, Citric Acid, Sodium Hydroxide, Sodium Chloride, Sodium Metabisulfite, Benzoic Acid, Caprylyl Glycol, Phenoxyethanol, Chlorphenesin.

Our formulations are updated from time to time as part of our commitment to innovation. As such, the ingredient list shown here may vary from the box of the product depending on time and region of purchase."
"photography fluid, opacity 8%","Aqua (Water), Caprylyl Methicone, Titanium Dioxide, Isodecyl Neopentanoate, Mica, Trimethylsiloxysilicate, Cetearyl Alcohol, Propanediol, Caramel, Ceteth-20 Phosphate, Red Iron Oxide (CI 77491), Sodium Hyaluronate, Pseudoalteromonas Exopolysaccharides, Allantoin, Glucose, Fructose, Maltose, Trehalose, Sodium Lactate, Sodium PCA, Urea, Polypodium Vulgare Rhizome Extract, Cetraria Islandica Thallus Extract, Sphagnum Magellanicum Extract, Pentylene Glycol, Glycerin, Carrageenan, Acacia Senegal Gum, Methyl Methacrylate/PEG/PPG-4/3 Methacrylate crosspolymer, Dicetyl Phosphate, Synthetic fluorphlogopite, Tin Oxide, Sodium Chloride, Sodium Hydroxide, Sodium Salicylate, Triethanolamine, Citric Acid, Phenoxyethanol, Chlorphenesin.

Our formulations are updated from time to time as part of our commitment to innovation. As such, the ingredient list shown here may vary from the box of the product depending on time and region of purchase."
