Product,Ingredients
flavanone mud,"Aqua (Water), Montmorillonite, Kaolin, Bisabolol, Silica Cetyl Silylate, Isodecyl neopentanoate, Panthenyl Triacetate, Glucosyl Hesperidin, Potassium Azeloyl Diglycinate, Argilla, Glycerin, Butylene Glycol, Resveratrol, Naringenin, Arginine, Alteromonas Ferment Extract, Perfluorodecalin, Simmondsia Chinensis Seed Oil, Glycosphingolipids, Propanediol, Xanthan Gum, Carrageenan, Acacia Senegal Gum, Mica, Quartz, Sucrose Palmitate, Trisodium Ethylenediamine Disuccinate, Ethoxydiglycol, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol, Chlorphenesin.

Our formulations are updated from time to time as part of our commitment to innovation. As such, the ingredient list shown here may vary from the box of the product depending on time and region of purchase."
mastic must,"Aqua (Water), Glycerin, Stearic Acid, Pistacia Lentiscus (Mastic) Gum, Centaurea cyanus flower water, Sapindus Mukurossi Fruit Extract, Niacinamide, Alcohol, Honey, Coconut Acid, Magnesium aluminum silicate, Arginine, Bentonite, Butyl Avocadate, Ethyl Linoleate, Hydroxyethylcellulose, Lecithin, Phospholipids, Acacia Senegal Gum, Carrageenan, Citric Acid, Propyl Gallate, Ethoxydiglycol, Lactobacillus Ferment, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol, Chlorphenesin.

Our formulations are updated from time to time as part of our commitment to innovation. As such, the ingredient list shown here may vary from the box of the product depending on time and region of purchase."
myrrh clay,"Peat, Solum Fullonum, Propanediol, Aqua (Water), Fragaria Vesca Leaf Extract, Glycerin, Hydroxypropyl Cyclodextrin, Commiphora Myrrh Extract, Evodia Rutaecarpa Fruit Extract, Carrageenan, Acacia Senegal Gum, Pentylene Glycol, 1,2-Hexanediol, Caprylyl Glycol, Phenoxyethanol, Chlorphenesin.

Our formulations are updated from time to time as part of our commitment to innovation. As such, the ingredient list shown here may vary from the box of the product depending on time and region of purchase."
voicemail masque,"Lactococcus Ferment Lysate, Dimethicone, Centaurea cyanus flower water, Glycerin, Dimethicone/Vinyl Dimethicone Crosspolymer, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Propanediol, Aqua (Water), Pentylene Glycol, Origanum Vulgare Leaf Extract, Leontopodium Alpinum Callus Culture Extract, Plantago Lanceolata Leaf Extract, Melanin, Sodium Hyaluronate, Arginine, Sodium Chloride, Isohexadecane, Polysorbate 60, Xanthan Gum, Citric Acid, Ethoxydiglycol, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Potassium Sorbate, Sodium Benzoate, Ethylhexylglycerin, Phenoxyethanol, Chlorphenesin.

Our formulations are updated from time to time as part of our commitment to innovation. As such, the ingredient list shown here may vary from the box of the product depending on time and region of purchase."
