,Ingredients,Rate,Category,Information
0,benzoyl peroxide,BEST,Anti-Acne,
1,BHA (beta hydroxy acid),BEST,"Skin-Soothing, Exfoliant, Anti-Acne",
2,salicylic acid,BEST,"Skin-Soothing, Anti-Acne, Exfoliant",
