,Ingredients,Rate,Category,Information
0,acetic acid,POOR,Sensitizing,
1,acetone,POOR,Sensitizing,
2,calamine,POOR,Sensitizing,
3,comfrey extract,POOR,"Sensitizing, Plant Extracts",
4,denatured alcohol,POOR,Sensitizing,
5,elecampane,POOR,"Plant Extracts, Sensitizing",
6,English ivy extract,POOR,"Plant Extracts, Sensitizing",
7,Equisetum arvense,POOR,"Antioxidants, Plant Extracts, Sensitizing",
8,esculin,POOR,Sensitizing,
9,essential oil,POOR,"Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
10,ethanol,POOR,Sensitizing,
11,ethyl alcohol,POOR,Sensitizing,
12,eucalyptus extract,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
13,eucalyptus oil,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
14,Eugenia aromatica,POOR,"Plant Extracts, Sensitizing",
15,Eugenia caryophyllus,POOR,"Plant Extracts, Sensitizing",
16,eugenol,POOR,"Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
17,Euphrasia officinalis,AVERAGE,"Plant Extracts, Sensitizing",
18,eyebright,AVERAGE,"Plant Extracts, Sensitizing",
19,fennel oil,POOR,"Plant Extracts, Sensitizing",
20,fennel seed extract,POOR,"Antioxidants, Plant Extracts, Sensitizing",
21,Ferula galbaniflua,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
22,feverfew extract,GOOD,"Skin-Soothing, Sensitizing, Plant Extracts",
23,Ficus carica fruit extract,POOR,"Plant Extracts, Sensitizing",
24,fig,POOR,"Plant Extracts, Sensitizing",
25,fir needle oil,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
26,Foeniculum vulgare extract,POOR,"Antioxidants, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
27,fragrance,POOR,"Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
28,frankincense extract,POOR,"Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
29,galbanum,POOR,"Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
30,Gardenia florida extract,POOR,"Antioxidants, Sensitizing, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",
31,geraniol,AVERAGE,"Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
32,geranium oil,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
33,Geranium pretense,POOR,"Antioxidants, Plant Extracts, Sensitizing",
34,ginger oil,POOR,"Antioxidants, Sensitizing, Plant Extracts",
35,gold,POOR,"Sensitizing, Miscellaneous",
36,grapefruit oil,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
37,grapefruit peel extract,POOR,"Sensitizing, Plant Extracts",
38,guarana,POOR,"Plant Extracts, Sensitizing",
39,Hamamelis virginiana,POOR,"Antioxidants, Sensitizing, Plant Extracts",
